1001
3	4	14	47	86	
6	25	32	37	88	
2	29	41	52	56	
29	54	57	60	76	
15	16	43	77	86	
16	23	29	40	48	
5	9	14	22	86	
2	3	47	61	86	
3	14	47	63	86	
14	41	66	77	86	
4	6	17	59	81	
5	35	55	58	71	
18	19	26	34	67	
20	36	40	59	64	
21	30	53	79	85	
10	23	55	62	70	
5	6	48	76	77	
4	48	51	56	80	
7	10	15	50	62	
3	19	20	34	60	
25	28	41	67	74	
14	18	42	62	90	
13	26	50	66	76	
51	58	64	78	84	
13	28	37	39	50	
13	23	26	49	82	
5	25	36	73	84	
8	30	33	52	72	
25	45	69	75	78	
15	20	31	40	67	
4	10	54	81	89	
4	42	44	61	67	
34	51	59	65	77	
9	23	45	63	66	
11	23	52	56	63	
26	31	32	52	78	
20	22	31	32	61	
15	44	47	51	88	
5	17	18	48	69	
14	34	40	82	89	
10	11	51	54	78	
1	50	65	67	78	
15	35	53	66	70	
8	58	75	81	89	
22	37	59	60	74	
13	15	18	42	52	
41	43	66	67	89	
1	28	53	66	78	
24	57	62	63	80	
16	19	50	54	57	
18	19	29	32	90	
3	5	18	27	88	
21	40	55	58	90	
5	39	70	83	87	
3	22	68	77	80	
7	41	49	52	53	
3	20	42	44	90	
5	12	15	25	76	
43	44	57	61	66	
6	64	71	81	88	
6	14	28	36	71	
23	60	70	80	86	
24	63	68	78	87	
36	43	48	56	57	
14	24	36	45	83	
16	43	54	60	81	
27	31	40	69	77	
3	40	43	48	63	
16	18	30	47	67	
16	19	64	65	90	
8	14	27	65	74	
8	49	54	70	71	
29	31	66	75	84	
11	60	75	78	80	
17	32	46	65	68	
8	16	45	67	79	
14	24	41	81	88	
34	44	46	48	62	
21	37	46	47	71	
32	45	46	74	86	
30	35	54	62	66	
16	55	72	81	85	
12	35	63	69	85	
22	45	74	78	85	
32	38	56	68	78	
8	10	36	65	84	
14	37	42	55	80	
6	34	38	68	69	
5	8	14	53	83	
28	46	50	69	77	
34	42	62	72	82	
5	11	23	29	34	
9	12	40	67	71	
15	24	53	87	89	
6	14	45	47	84	
13	20	29	58	64	
6	14	27	44	85	
15	20	41	57	85	
3	13	20	35	50	
16	17	22	32	62	
7	21	32	40	43	
9	21	66	75	77	
11	16	44	71	84	
19	33	40	79	84	
11	62	68	71	90	
1	19	33	40	69	
38	57	67	68	76	
17	19	32	65	68	
13	46	50	53	71	
1	14	55	59	68	
19	29	66	80	89	
29	40	47	52	68	
5	6	32	55	67	
9	15	25	61	62	
21	33	65	89	90	
12	23	24	32	86	
29	49	58	73	90	
16	30	65	72	85	
12	24	32	55	56	
6	11	13	16	54	
22	63	67	69	76	
2	11	28	32	52	
5	13	27	38	71	
12	16	37	49	81	
4	57	75	80	82	
16	51	53	61	82	
2	8	9	60	84	
9	32	41	52	77	
9	21	45	51	65	
7	10	26	50	76	
12	29	36	67	74	
32	41	46	68	78	
24	28	38	63	77	
1	36	59	61	80	
14	18	55	76	83	
36	54	74	82	85	
10	18	34	60	72	
2	22	51	54	81	
10	34	72	77	84	
28	51	63	79	90	
10	13	15	40	61	
8	17	46	60	88	
1	11	26	53	84	
30	41	65	76	81	
11	27	28	60	86	
7	49	79	85	88	
1	11	60	75	84	
3	18	23	24	80	
21	40	48	56	75	
4	21	28	33	52	
20	29	49	74	76	
11	23	42	49	90	
10	23	45	53	55	
19	43	44	50	58	
4	21	27	35	71	
7	13	21	40	87	
21	36	42	52	74	
3	39	57	63	70	
64	67	81	85	90	
3	11	16	74	90	
7	10	28	59	65	
50	53	64	70	88	
5	10	20	59	71	
20	33	34	38	74	
45	56	65	78	84	
46	51	76	77	82	
13	42	70	76	79	
25	34	62	75	83	
30	42	52	67	81	
17	38	55	68	84	
1	14	16	19	69	
19	49	56	67	70	
38	39	40	68	84	
11	27	44	67	84	
17	23	25	37	38	
6	23	34	40	61	
5	15	34	49	84	
16	64	79	89	90	
3	27	48	51	52	
30	41	62	81	84	
9	23	37	56	76	
5	11	24	57	83	
4	8	10	48	69	
13	25	42	81	85	
6	30	70	74	83	
7	31	39	83	89	
5	23	25	27	75	
36	41	63	75	85	
10	29	45	76	81	
16	23	44	67	85	
1	10	14	66	89	
39	48	51	73	84	
36	41	46	52	58	
38	42	45	73	90	
11	49	52	67	86	
18	42	54	81	85	
8	12	61	82	87	
12	16	22	30	31	
2	14	36	42	58	
11	37	52	55	62	
21	22	23	45	68	
18	71	80	86	87	
7	39	48	80	88	
7	10	35	61	81	
6	8	38	71	84	
15	24	31	77	90	
5	32	58	75	86	
22	24	28	40	62	
8	18	19	49	53	
32	36	39	59	76	
18	58	69	71	73	
8	30	51	74	83	
